age,mean,sigma
101,3.721579,0.11441
101.1,3.722755,0.115724
101.2,3.72461,0.117123
101.3,3.726591,0.118719
101.4,3.728886,0.12027
101.5,3.731276,0.121939
101.6,3.73424,0.123674
101.7,3.737128,0.12551
101.8,3.739982,0.12742
101.9,3.742803,0.12918
102,3.745416,0.131068
102.1,3.747722,0.1332
102.2,3.74967,0.135507
102.3,3.75135,0.138009
102.4,3.752917,0.140581
102.5,3.754318,0.143359
102.6,3.755179,0.146277
102.7,3.755818,0.149163
102.8,3.75653,0.151876
102.9,3.757351,0.154457
103,3.758387,0.156926
103.1,3.759997,0.159361
103.2,3.762318,0.161723
103.3,3.76512,0.164076
103.4,3.768578,0.166322
103.5,3.772896,0.168364
103.6,3.778508,0.170232
103.7,3.785289,0.171908
103.8,3.793074,0.173449
103.9,3.801327,0.174823
104,3.810697,0.175906
104.1,3.82112,0.176461
104.2,3.832092,0.176707
104.3,3.843406,0.176505
104.4,3.854577,0.175853
104.5,3.865883,0.174678
104.6,3.877115,0.172922
104.7,3.887832,0.170817
104.8,3.898355,0.168282
104.9,3.908577,0.16534
105,3.918062,0.162272
105.1,3.925969,0.159137
105.2,3.932571,0.155696
105.3,3.937896,0.152314
105.4,3.942497,0.149007
105.5,3.945466,0.145807
105.6,3.947159,0.142587
105.7,3.948361,0.139481
105.8,3.948395,0.136574
105.9,3.947915,0.133795
106,3.946316,0.131282
106.1,3.943809,0.129178
106.2,3.940614,0.127358
106.3,3.936954,0.12586
106.4,3.933095,0.124563
106.5,3.929119,0.123738
106.6,3.924587,0.123421
106.7,3.919701,0.123528
106.8,3.914897,0.124015
106.9,3.910029,0.124702
107,3.905539,0.125769
107.1,3.901946,0.127208
107.2,3.898884,0.128904
107.3,3.896869,0.130824
107.4,3.895675,0.13288
107.5,3.895587,0.135197
107.6,3.897417,0.137727
107.7,3.900887,0.140308
107.8,3.90623,0.142954
107.9,3.912666,0.14545
108,3.920485,0.147792
108.1,3.93027,0.149979
108.2,3.941435,0.15191
108.3,3.953475,0.153676
108.4,3.966141,0.155194
108.5,3.98023,0.156251
108.6,3.994889,0.157051
108.7,4.009627,0.157474
108.8,4.023994,0.157442
108.9,4.038138,0.15715
109,4.052029,0.156581
109.1,4.064652,0.155571
109.2,4.076835,0.154257
109.3,4.088091,0.152625
109.4,4.098584,0.150788
109.5,4.108105,0.148861
109.6,4.116091,0.146876
109.7,4.123029,0.144932
109.8,4.128882,0.143078
109.9,4.133995,0.141233
110,4.137553,0.139592
110.1,4.139742,0.138137
110.2,4.140589,0.136797
110.3,4.140505,0.135626
110.4,4.139711,0.134452
110.5,4.13753,0.133356
110.6,4.13464,0.132325
110.7,4.131074,0.131267
110.8,4.126831,0.13006
110.9,4.122413,0.128701
111,4.117764,0.127335
111.1,4.112933,0.126026
111.2,4.107919,0.12465
111.3,4.102978,0.123244
111.4,4.098081,0.121698
111.5,4.093564,0.120121
111.6,4.08917,0.118636
111.7,4.084829,0.117262
111.8,4.080348,0.116108
111.9,4.07596,0.114872
112,4.070898,0.113813
112.1,4.065177,0.112975
112.2,4.058922,0.112239
112.3,4.051995,0.111653
112.4,4.044419,0.111025
112.5,4.036045,0.110513
112.6,4.026873,0.110197
112.7,4.017142,0.109942
112.8,4.007041,0.109874
112.9,3.996802,0.109757
113,3.98627,0.109723
113.1,3.975527,0.109817
113.2,3.964526,0.110049
113.3,3.953531,0.110403
113.4,3.942581,0.110689
113.5,3.931911,0.111077
113.6,3.921396,0.111675
113.7,3.911116,0.112405
113.8,3.901221,0.113179
113.9,3.891264,0.113859
114,3.881205,0.1147
114.1,3.871189,0.115652
114.2,3.861293,0.116652
114.3,3.851249,0.117696
114.4,3.841151,0.118602
114.5,3.831263,0.119573
114.6,3.821869,0.120541
114.7,3.812887,0.121363
114.8,3.804176,0.122028
114.9,3.795911,0.122542
115,3.788368,0.122968
115.1,3.781624,0.123336
115.2,3.775661,0.123611
115.3,3.77037,0.123898
115.4,3.765401,0.124036
115.5,3.761097,0.124186
115.6,3.757138,0.124383
115.7,3.753338,0.124528
115.8,3.749939,0.124696
115.9,3.746735,0.124702
116,3.743676,0.124774
116.1,3.740593,0.124936
116.2,3.73727,0.125166
116.3,3.733674,0.125481
116.4,3.730058,0.125722
116.5,3.725901,0.126072
116.6,3.721449,0.126522
116.7,3.716737,0.126996
116.8,3.711647,0.127423
116.9,3.706287,0.127752
117,3.700632,0.128102
117.1,3.694409,0.128426
117.2,3.687702,0.12866
117.3,3.680627,0.128791
117.4,3.673299,0.128783
117.5,3.665663,0.128699
117.6,3.65748,0.12853
117.7,3.649117,0.128417
117.8,3.640541,0.128331
117.9,3.631598,0.128224
118,3.622275,0.128125
118.1,3.612648,0.128244
118.2,3.602624,0.1285
118.3,3.59207,0.128934
118.4,3.581193,0.129257
118.5,3.569434,0.129719
118.6,3.556919,0.130347
118.7,3.543981,0.130943
118.8,3.530532,0.1315
118.9,3.517008,0.131935
119,3.503006,0.132257
119.1,3.48849,0.132304
119.2,3.473453,0.132123
119.3,3.458123,0.131774
119.4,3.442915,0.131213
119.5,3.427988,0.130457
119.6,3.413544,0.129649
119.7,3.399713,0.128794
119.8,3.386355,0.127881
119.9,3.373022,0.126876
120,3.360328,0.125925
120.1,3.348284,0.125183
120.2,3.336674,0.12442
120.3,3.325607,0.123745
120.4,3.314741,0.123
120.5,3.304132,0.122364
120.6,3.293924,0.121672
120.7,3.284049,0.121005
120.8,3.274448,0.12037
120.9,3.265111,0.119749
121,3.256219,0.119187
121.1,3.24767,0.118751
121.2,3.239272,0.118409
121.3,3.231068,0.118124
121.4,3.223001,0.117745
121.5,3.215267,0.11745
121.6,3.207852,0.117248
121.7,3.200859,0.116964
121.8,3.194259,0.116609
121.9,3.187778,0.116212
122,3.181482,0.115876
122.1,3.175627,0.115595
122.2,3.169882,0.11532
122.3,3.164322,0.11519
122.4,3.158887,0.114991
122.5,3.153659,0.114867
122.6,3.148519,0.114835
122.7,3.143545,0.114783
122.8,3.138694,0.114729
122.9,3.133967,0.114542
123,3.129333,0.114355
123.1,3.124787,0.114253
123.2,3.120207,0.114268
123.3,3.115812,0.114306
123.4,3.111607,0.114266
123.5,3.107936,0.114242
123.6,3.104613,0.114254
123.7,3.101488,0.1143
123.8,3.098363,0.114388
123.9,3.09522,0.114429
124,3.091829,0.114577
124.1,3.088445,0.114791
124.2,3.085133,0.114957
124.3,3.081862,0.115176
124.4,3.078537,0.115329
124.5,3.075142,0.115533
124.6,3.071732,0.115852
124.7,3.068362,0.116205
124.8,3.065,0.116553
124.9,3.06167,0.116732
125,3.058342,0.116913
125.1,3.055022,0.11712
125.2,3.051809,0.117354
125.3,3.048802,0.117558
125.4,3.045812,0.117644
125.5,3.042998,0.117805
125.6,3.040318,0.117967
125.7,3.037615,0.118052
125.8,3.034886,0.118163
125.9,3.032326,0.118149
126,3.029877,0.118211
126.1,3.027429,0.118358
126.2,3.025162,0.118491
126.3,3.023229,0.118665
126.4,3.021482,0.118763
126.5,3.020015,0.118976
126.6,3.01885,0.119328
126.7,3.018049,0.119688
126.8,3.017427,0.120066
126.9,3.016906,0.120352
127,3.016832,0.120652
127.1,3.01736,0.121039
127.2,3.018403,0.121479
127.3,3.020083,0.121991
127.4,3.022245,0.122531
127.5,3.025142,0.123188
127.6,3.028549,0.123934
127.7,3.032446,0.124682
127.8,3.036938,0.125467
127.9,3.042012,0.126257
128,3.048065,0.127094
128.1,3.055088,0.127998
128.2,3.062757,0.128969
128.3,3.071202,0.130063
128.4,3.080122,0.131203
128.5,3.090105,0.13265
128.6,3.101113,0.134249
128.7,3.112965,0.135982
128.8,3.125419,0.137722
128.9,3.1381,0.139469
129,3.151457,0.141217
129.1,3.165946,0.142809
129.2,3.181508,0.144329
129.3,3.197924,0.145752
129.4,3.214793,0.147005
129.5,3.232414,0.147965
129.6,3.251196,0.148588
129.7,3.270287,0.14883
129.8,3.29016,0.148551
129.9,3.310162,0.148098
130,3.330091,0.147253
130.1,3.349847,0.146022
130.2,3.369487,0.144626
130.3,3.388974,0.143197
130.4,3.408393,0.141776
130.5,3.427692,0.140364
130.6,3.446828,0.139163
130.7,3.465908,0.138261
130.8,3.485147,0.137674
130.9,3.504597,0.137282
131,3.524673,0.137349
131.1,3.545385,0.137829
131.2,3.566776,0.138413
131.3,3.588794,0.138939
131.4,3.611283,0.139277
131.5,3.634288,0.139354
131.6,3.658064,0.139091
131.7,3.682346,0.138454
131.8,3.706823,0.137354
131.9,3.731186,0.135898
132,3.755394,0.134185
132.1,3.779195,0.132285
132.2,3.802694,0.130321
132.3,3.826,0.128345
132.4,3.849326,0.126493
132.5,3.872716,0.125033
132.6,3.896452,0.123909
132.7,3.920785,0.123095
132.8,3.946335,0.122629
132.9,3.972598,0.122204
133,4.000757,0.121873
133.1,4.031499,0.121587
133.2,4.063974,0.120992
133.3,4.097709,0.120258
133.4,4.131975,0.119318
133.5,4.166892,0.117957
133.6,4.201582,0.116366
133.7,4.235867,0.114659
133.8,4.268849,0.11285
133.9,4.301303,0.111062
134,4.332268,0.10948
134.1,4.361386,0.10815
134.2,4.389326,0.107187
134.3,4.416682,0.106507
134.4,4.444036,0.105897
134.5,4.472152,0.105693
134.6,4.50175,0.105949
134.7,4.532794,0.106465
134.8,4.565653,0.107096
134.9,4.59974,0.107648
135,4.635161,0.108316
135.1,4.670978,0.109111
135.2,4.706624,0.109841
135.3,4.741584,0.110325
135.4,4.775388,0.110581
135.5,4.806889,0.110671
135.6,4.835609,0.110585
135.7,4.861626,0.110242
135.8,4.884617,0.109797
135.9,4.90533,0.109115
136,4.921272,0.108238
136.1,4.932797,0.107632
136.2,4.940842,0.107311
136.3,4.945541,0.107222
136.4,4.949245,0.107151
136.5,4.952418,0.107348
136.6,4.955167,0.107868
136.7,4.958484,0.108477
136.8,4.96269,0.109196
136.9,4.966764,0.10971
137,4.970632,0.110284
137.1,4.974007,0.110961
137.2,4.976496,0.111654
137.3,4.978024,0.112381
137.4,4.979008,0.113071
137.5,4.978654,0.113939
137.6,4.977165,0.115015
137.7,4.974655,0.116207
137.8,4.970989,0.117459
137.9,4.967012,0.118512
138,4.962748,0.119646
138.1,4.958104,0.120842
138.2,4.953497,0.121982
138.3,4.948969,0.123112
138.4,4.944645,0.124016
138.5,4.940737,0.124794
138.6,4.937285,0.125552
138.7,4.934307,0.126228
138.8,4.931702,0.126904
138.9,4.929037,0.127491
139,4.926586,0.128147
139.1,4.924245,0.128881
139.2,4.921809,0.129616
139.3,4.919559,0.130377
139.4,4.917374,0.13105
139.5,4.914869,0.131759
139.6,4.912068,0.132556
139.7,4.908937,0.133323
139.8,4.905374,0.13408
139.9,4.90152,0.134713
140,4.89732,0.135355
140.1,4.892892,0.136042
140.2,4.888345,0.136713
140.3,4.883599,0.137331
140.4,4.878907,0.137802
140.5,4.874212,0.138253
140.6,4.86933,0.138642
140.7,4.864348,0.138949
140.8,4.859326,0.139208
140.9,4.854424,0.139343
141,4.849675,0.139448
141.1,4.84515,0.139544
141.2,4.840768,0.139561
141.3,4.8365,0.139481
141.4,4.83228,0.139249
141.5,4.828151,0.138935
141.6,4.824204,0.138623
141.7,4.820527,0.138348
141.8,4.817217,0.138167
141.9,4.814022,0.137902
142,4.811069,0.137676
142.1,4.80834,0.137514
142.2,4.805723,0.137355
142.3,4.803205,0.137165
142.4,4.800748,0.136938
142.5,4.798381,0.136778
142.6,4.796188,0.13669
142.7,4.794131,0.136701
142.8,4.792172,0.136826
142.9,4.790237,0.136901
143,4.788344,0.13698
143.1,4.78651,0.137139
143.2,4.784725,0.137312
143.3,4.782997,0.137504
143.4,4.781327,0.137746
143.5,4.779784,0.138201
143.6,4.778296,0.138742
143.7,4.776847,0.13928
143.8,4.775441,0.139956
143.9,4.774055,0.140639
144,4.772681,0.141329
144.1,4.771328,0.142142
144.2,4.769996,0.143061
144.3,4.76869,0.144049
144.4,4.767399,0.145083
144.5,4.76613,0.146275
144.6,4.764881,0.147575
144.7,4.763645,0.148904
144.8,4.762423,0.150285
144.9,4.761203,0.151638
145,4.759992,0.153016
145.1,4.758806,0.154478
145.2,4.757633,0.155973
145.3,4.756462,0.157452
145.4,4.755296,0.15892
145.5,4.754151,0.160446
145.6,4.753014,0.162003
145.7,4.75188,0.16359
145.8,4.750753,0.165185
145.9,4.74963,0.166791
146,4.748511,0.168406
146.1,4.747394,0.170009
146.2,4.746278,0.171601
146.3,4.745164,0.173183
146.4,4.744052,0.174755
146.5,4.742941,0.176317
146.6,4.741832,0.177883
146.7,4.740724,0.179454
146.8,4.739618,0.181016
146.9,4.738514,0.182569
147,4.737412,0.184112
147.1,4.736311,0.185647
147.2,4.735212,0.187172
147.3,4.734114,0.188688
147.4,4.733018,0.190195
147.5,4.731924,0.191693
147.6,4.730831,0.193182
147.7,4.72974,0.194662
147.8,4.728651,0.196133
147.9,4.727564,0.197595
148,4.726478,0.199048
148.1,4.725393,0.200491
148.2,4.724311,0.201926
148.3,4.723229,0.203352
148.4,4.72215,0.204768
148.5,4.721072,0.206176
148.6,4.719996,0.207574
148.7,4.718922,0.208964
148.8,4.717849,0.210344
148.9,4.716777,0.211715
149,4.715708,0.213077
149.1,4.71464,0.21443
149.2,4.713573,0.215775
149.3,4.712508,0.21711
149.4,4.711445,0.218436
149.5,4.710383,0.219753
149.6,4.709323,0.221061
149.7,4.708265,0.222361
149.8,4.707208,0.223651
149.9,4.706153,0.224933
150,4.705099,0.226206
