depth	age	error	dR	dSTD	cc
0.12	0.58	0.11	0	0.2	2
0.55	0.815	0.2	0	0.2	2
0.99	1.01	0.1	0	0.2	2
1.45	1.09	0.12	0	0.2	2
2.38	1.9	0.1	0	0.2	2
4.01	3.96	0.15	0	0.2	2
5.01	4.07	0.19	0	0.2	2
7.11	6.95	0.05	0	0.2	2
7.55	7.36	0.05	0	0.2	2
8.61	9.48	0.065	0	0.2	2
9.2	10.45	0.12	0	0.2	2
9.4	11.05	0.31	0	0.2	2
9.86	11.05	0.075	0	0.2	2
9.86	11.1	0.075	0	0.2	2
9.86	10.95	0.075	0	0.2	2
10	11.15	0.08	0	0.2	2
10.36	12.1	0.08	0	0.2	2
10.46	12.45	0.075	0	0.2	2
10.47	12.4	0.21	0	0.2	2
10.47	12.65	0.065	0	0.2	2
10.49	12.65	0.08	0	0.2	2
10.49	12.6	0.065	0	0.2	2
10.49	12.85	0.07	0	0.2	2
10.54	12.9	0.045	0	0.2	2
10.54	12.8	0.07	0	0.2	2
10.61	12.85	0.08	0	0.2	2
10.86	13.45	0.075	0	0.2	2
10.86	13.4	0.055	0	0.2	2
12.11	15.55	0.065	0	0.2	2
12.86	16.8	0.095	0	0.2	2
14.86	20.3	0.26	0	0.2	2
17.11	24.8	0.13	0	0.2	2
