depth	age	error	dR	dSTD	cc
0.005	1.515	0.03	0	0.2	2
0.145	2.13	0.04	0	0.2	2
0.345	2.78	0.04	0	0.2	2
0.525	3.465	0.035	0	0.2	2
0.725	4.295	0.03	0	0.2	2
1.045	5.405	0.035	0	0.2	2
1.205	6.19	0.035	0	0.2	2
1.495	7.485	0.045	0	0.2	2
1.675	8.575	0.04	0	0.2	2
2.015	9.66	0.045	0	0.2	2
2.275	10.37	0.05	0	0.2	2
2.515	11.415	0.05	0	0.2	2
2.755	12.705	0.055	0	0.2	2
2.915	13.02	0.055	0	0.2	2
3.165	14.26	0.07	0	0.2	2
3.385	15.41	0.07	0	0.2	2
3.645	16.34	0.08	0	0.2	2
3.905	17.44	0.09	0	0.2	2
4.245	18.99	0.1	0	0.2	2
4.405	19.96	0.11	0	0.2	2
5.915	29.92	0.33	0	0.2	2
