depth	age	error	dR	dSTD	cc
0.03	0.379999995231628	0.0299999993294477	0	0.2	2
0.98	5.17000007629395	0.0399999991059303	0	0.2	2
0.98	5.30000019073486	0.0500000007450581	0	0.2	2
1.1	5.92000007629395	0.0399999991059303	0	0.2	2
1.63	8.47999954223633	0.0599999986588955	0	0.2	2
1.9	9.14999961853027	0.0500000007450581	0	0.2	2
2.13	9.97999954223633	0.0700000002980232	0	0.2	2
2.25	10.8000001907349	0.0900000035762787	0	0.2	2
2.28	10.7600002288818	0.0799999982118607	0	0.2	2
2.33	11.3599996566772	0.0700000002980232	0	0.2	2
2.43	11.7349996566772	0.0599999986588955	0	0.2	2
2.48	12.125	0.0599999986588955	0	0.2	2
2.575	12.2200002670288	0.0700000002980232	0	0.2	2
2.9	14.210000038147	0.0900000035762787	0	0.2	2
2.93	13.6899995803833	0.0900000035762787	0	0.2	2
3.1	16.1399993896484	0.100000001490116	0	0.2	2
3.8	20.2600002288818	0.109999999403954	0	0.2	2
4.2	23.2299995422363	0.209999993443489	0	0.2	2
4.5	25.0599994659424	0.259999990463257	0	0.2	2
4.63	27.0300006866455	0.219999998807907	0	0.2	2
5.08	29.4799995422363	0.259999990463257	0	0.2	2
5.425	30.8400001525879	0.519999980926514	0	0.2	2
5.63	32.4599990844727	0.349999994039536	0	0.2	2
6.18	36.2900009155273	0.560000002384186	0	0.2	2
6.5	39.6800003051758	1.0900000333786	0	0.2	2
6.8	41.2000007629395	2.02999997138977	0	0.2	2
