depth	age	error	dR	dSTD	cc
0.04	0.615	0.035	0	0.2	2
1	3.93	0.045	0	0.2	2
2.1	7.31	0.055	0	0.2	2
2.8	10.1	0.055	0	0.2	2
2.9	10.2	0.055	0	0.2	2
3	10.7	0.06	0	0.2	2
3.1	11.35	0.065	0	0.2	2
3.2	11.95	0.06	0	0.2	2
3.3	12.25	0.1	0	0.2	2
3.5	13.15	0.085	0	0.2	2
3.6	14.3	0.085	0	0.2	2
3.7	14.75	0.08	0	0.2	2
3.8	17.6	0.1	0	0.2	2
3.8	18.1	0.11	0	0.2	2
3.9	17.5	0.1	0	0.2	2
4	20.2	0.13	0	0.2	2
4.1	23.6	0.19	0	0.2	2
4.2	25.5	0.23	0	0.2	2
