depth	age	error	dR	dSTD	cc
0.145	0.62	0.025	0	0.2	2
0.255	0.975	0.025	0	0.2	2
0.675	1.9	0.025	0	0.2	2
1.075	2.32	0.025	0	0.2	2
1.555	3.07	0.03	0	0.2	2
2.235	3.835	0.035	0	0.2	2
2.845	4.585	0.04	0	0.2	2
3.42	5.7	0.035	0	0.2	2
4.075	6.945	0.035	0	0.2	2
4.435	7.755	0.06	0	0.2	2
4.975	9.17	0.045	0	0.2	2
5.375	9.78	0.045	0	0.2	2
5.415	9.95	0.05	0	0.2	2
5.585	10.125	0.045	0	0.2	2
5.825	10.83	0.055	0	0.2	2
6.105	11.64	0.035	0	0.2	2
6.205	12.01	0.07	0	0.2	2
6.455	12.65	0.035	0	0.2	2
6.555	12.845	0.06	0	0.2	2
6.705	13.1	0.08	0	0.2	2
7.005	14.45	0.045	0	0.2	2
7.255	15.14	0.1	0	0.2	2
7.505	15.775	0.045	0	0.2	2
7.62	16.04	0.18	0	0.2	2
7.755	16.42	0.05	0	0.2	2
8.02	17.21	0.15	0	0.2	2
9.205	18.795	0.05	0	0.2	2
10.305	23.08	0.18	0	0.2	2
10.955	25.28	0.11	0	0.2	2
12.055	31.43	0.18	0	0.2	2
12.355	33.37	0.63	0	0.2	2
12.95	36.96	0.98	0	0.2	2
