depth	age	error	dR	dSTD	cc
0.075	1.23	0.06	0	0.2	2
0.35	3.35	0.1	0	0.2	2
0.55	5.54	0.09	0	0.2	2
0.7	7.85	0.09	0	0.2	2
0.8	8.7	0.12	0	0.2	2
0.975	10.58	0.12	0	0.2	2
1.15	11.78	0.13	0	0.2	2
1.275	13.06	0.15	0	0.2	2
1.425	14.2	0.17	0	0.2	2
1.6	15.88	0.17	0	0.2	2
1.65	16.26	0.17	0	0.2	2
1.8	17.13	0.18	0	0.2	2
1.975	20.58	0.26	0	0.2	2
