depth	age	error	dR	dSTD	cc
0.08	1.17	0.035	0	0.2	2
0.48	4.455	0.035	0	0.2	2
0.98	8.97	0.045	0	0.2	2
1.73	10.83	0.07	0	0.2	2
2.48	11.02	0.06	0	0.2	2
3.78	12.22	0.07	0	0.2	2
4.18	13.05	0.07	0	0.2	2
4.83	13.72	0.1	0	0.2	2
5.08	14.29	0.06	0	0.2	2
5.53	14.67	0.08	0	0.2	2
6.08	14.9	0.12	0	0.2	2
6.88	16.6	0.13	0	0.2	2
7.23	18.15	0.13	0	0.2	2
8.03	20.45	0.16	0	0.2	2
8.68	23.65	0.23	0	0.2	2
9.63	27.425	0.35	0	0.2	2
10.53	29.6	0.36	0	0.2	2
11.23	29.85	0.35	0	0.2	2
12.03	36.44	1.4	0	0.2	2
12.08	39.429	2.5	0	0.2	2
13.23	45.41	0.36	0	0.2	2
