depth	age	error	dR	dSTD	cc
0.055	1.26	0.03	0	0.2	2
0.165	1.821	0.03	0	0.2	2
0.615	3.39	0.04	0	0.2	2
1.085	4.63	0.04	0	0.2	2
2.575	8.45	0.04	0	0.2	2
3.005	9.756	0.06	0	0.2	2
3.395	10.09	0.05	0	0.2	2
3.995	12.37	0.05	0	0.2	2
4.805	13.433	0.043	0	0.2	2
5.395	13.62	0.06	0	0.2	2
6.475	15.211	0.08	0	0.2	2
7.045	17.54	0.08	0	0.2	2
7.785	18.62	0.07	0	0.2	2
8.195	19.44	0.08	0	0.2	2
8.445	20.09	0.08	0	0.2	2
9.105	20.61	0.08	0	0.2	2
9.875	21.708	0.101	0	0.2	2
10.835	22.558	0.132	0	0.2	2
12.195	26.43	0.13	0	0.2	2
