depth	age	error	dR	dSTD	cc
0.14	1.98	0.06	0	0.2	2
0.54	3.216	0.037	0	0.2	2
0.96	4.275	0.041	0	0.2	2
1.78	5.652	0.042	0	0.2	2
2.38	6.87	0.05	0	0.2	2
2.98	8.53	0.047	0	0.2	2
3.48	9.2	0.06	0	0.2	2
4.18	9.97	0.05	0	0.2	2
4.87	10.56	0.06	0	0.2	2
5.12	10.75	0.06	0	0.2	2
5.88	11.59	0.06	0	0.2	2
5.95	11.88	0.08	0	0.2	2
6.82	12.79	0.09	0	0.2	2
7.08	13.1	0.09	0	0.2	2
7.58	14.35	0.11	0	0.2	2
8.02	15.44	0.09	0	0.2	2
8.58	18.26	0.12	0	0.2	2
9.58	22.45	0.16	0	0.2	2
10.44	24.84	0.28	0	0.2	2
10.77	26.22	0.24	0	0.2	2
13.24	32.6	0.4	0	0.2	2
