depth	age	error	dR	dSTD	cc
0.1	0.725	0.025	0	0.2	2
0.15	1.334	0.029	0	0.2	2
0.26	2.097	0.026	0	0.2	2
0.36	2.688	0.026	0	0.2	2
0.62	3.778	0.028	0	0.2	2
0.83	4.538	0.027	0	0.2	2
1.12	5.37	0.03	0	0.2	2
1.14	5.773	0.031	0	0.2	2
1.31	6.2	0.09	0	0.2	2
1.53	7.17	0.085	0	0.2	2
1.84	8.814	0.041	0	0.2	2
2.09	9.19	0.035	0	0.2	2
2.31	10.084	0.045	0	0.2	2
2.65	11.194	0.042	0	0.2	2
